2.049348999999999865e+00 2.050247300000000106e+00
2.041348900000000022e+00 2.041789300000000029e+00
2.037738399999999839e+00 2.038000599999999718e+00
2.035839299999999685e+00 2.036015599999999814e+00
2.034062000000000037e+00 2.034158499999999759e+00
2.032968899999999746e+00 2.033010699999999726e+00
2.032802400000000009e+00 2.032603299999999891e+00
2.032703799999999728e+00 2.032631899999999714e+00
2.032630600000000065e+00 2.032703999999999844e+00
2.032588800000000084e+00 2.032802400000000009e+00
2.032588800000000084e+00 2.032802400000000009e+00
2.032630600000000065e+00 2.032703999999999844e+00
2.032703799999999728e+00 2.032631899999999714e+00
2.032802400000000009e+00 2.032603299999999891e+00
2.032968899999999746e+00 2.033010699999999726e+00
2.034062000000000037e+00 2.034158499999999759e+00
2.035839299999999685e+00 2.036015599999999814e+00
2.037738399999999839e+00 2.038000599999999718e+00
2.041348900000000022e+00 2.041789300000000029e+00
2.049348999999999865e+00 2.050247300000000106e+00
